Age,Married,Number of Dependents,Number of Referrals,Phone Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Paperless Billing,Payment Method,Total Revenue,Satisfaction Score,Churn Value,CLTV,Gender_Female,Gender_Male,Multiple Lines_No,Multiple Lines_Yes,Streaming TV_No,Streaming TV_Yes,Streaming Music_No,Streaming Music_Yes,Streaming Movies_No,Streaming Movies_Yes,Contract_mapeada,Offer_mapeada
78,1,0,0,0,2,8,1,1,0,1,0,1,2,59.65,3,1,5433,0,1,1,0,1,0,1,0,0,1,0,5
74,0,1,1,1,3,17,1,0,1,1,1,1,1,1024.1,3,1,5302,1,0,0,1,1,0,1,0,1,0,0,4
71,1,3,0,1,3,52,1,1,1,1,1,1,2,1910.88,2,1,3179,0,1,0,1,0,1,0,1,0,1,0,3
78,0,1,1,1,3,12,1,0,0,1,1,1,2,2995.07,2,1,5337,1,0,1,0,0,1,1,0,0,1,0,2
80,0,1,1,1,3,14,1,1,1,1,1,1,2,3102.36,2,1,2793,1,0,0,1,1,0,1,0,1,0,0,2
72,1,1,0,1,3,18,1,1,0,1,0,1,2,2235.41,1,1,4638,1,0,0,1,1,0,1,0,1,0,0,2
76,0,2,1,1,3,30,1,1,1,1,1,1,0,85.73,2,1,3964,1,0,1,0,1,0,1,0,1,0,0,4
66,0,0,6,0,2,24,1,0,0,1,1,1,2,2610.25,1,1,5444,0,1,1,0,1,0,1,0,0,1,0,1
70,1,2,0,1,3,19,1,1,1,1,1,1,0,1806.75,2,1,5717,1,0,0,1,1,0,1,0,1,0,0,3
77,1,2,0,1,3,18,0,1,1,1,0,0,2,681.2,2,1,4419,1,0,1,0,1,0,1,0,1,0,0,4
78,1,1,0,1,3,29,1,0,1,1,0,1,2,1367.79,1,1,5980,1,0,1,0,0,1,1,0,0,1,0,3
65,1,0,0,1,3,29,1,0,1,1,1,1,2,1510.9499999999998,1,1,4616,0,1,1,0,1,0,1,0,1,0,0,3
77,0,0,1,0,2,12,1,0,1,1,1,0,2,40.2,2,1,5828,0,1,1,0,0,1,1,0,1,0,0,4
67,1,0,0,0,2,28,1,1,0,1,1,1,2,132.2,2,1,2314,0,1,1,0,1,0,0,1,0,1,0,4
68,1,0,0,1,1,11,1,0,0,1,0,1,2,1799.14,1,1,2494,0,1,0,1,0,1,1,0,0,1,0,3
68,1,0,0,1,3,9,1,1,1,0,1,1,2,1662.08,1,1,3810,1,0,1,0,0,1,0,1,0,1,0,3
66,1,0,0,1,3,7,1,0,1,1,1,1,2,620.79,2,1,4345,0,1,1,0,1,0,1,0,1,0,0,5
69,1,0,0,1,3,15,1,1,1,1,1,1,2,2453.58,2,1,2018,0,1,0,1,1,0,1,0,1,0,0,2
74,1,0,0,1,3,2,1,1,1,1,1,1,2,522.54,3,1,3677,1,0,0,1,0,1,1,0,0,1,0,4
76,0,0,2,1,3,10,1,1,1,1,1,1,2,3818.23,2,1,4105,0,1,0,1,1,0,1,0,1,0,0,2
77,0,0,1,1,1,12,1,1,0,1,1,1,2,2617.4500000000003,2,1,2212,0,1,1,0,0,1,0,1,0,1,0,2
70,1,0,0,1,2,5,0,0,1,0,1,0,2,5002.42,1,1,4149,1,0,0,1,0,1,0,1,0,1,1,1
74,1,0,0,1,3,10,1,1,1,1,1,1,2,165.39,3,1,2671,1,0,1,0,1,0,1,0,1,0,0,4
77,1,0,0,0,1,8,0,1,1,1,1,1,2,840.1,1,1,4778,1,0,1,0,0,1,1,0,1,0,0,5
71,0,0,0,0,1,13,0,1,1,1,0,0,1,945.1,1,1,2927,0,1,1,0,1,0,1,0,1,0,0,5
79,0,0,1,1,0,0,1,1,1,1,0,0,0,539.69,1,1,5888,0,1,1,0,1,0,1,0,1,0,0,5
66,0,0,2,1,3,27,1,0,0,1,0,1,2,7319.799999999999,1,1,5502,1,0,0,1,1,0,1,0,1,0,0,1
77,1,0,0,1,3,14,1,0,1,1,1,1,2,261.36,1,1,2818,0,1,0,1,1,0,1,0,1,0,0,4
80,1,0,0,1,3,17,1,1,0,1,0,1,2,130.39,2,1,4902,1,0,1,0,1,0,1,0,1,0,0,4
77,1,0,0,0,2,26,1,0,1,1,1,0,2,131.05,2,1,4099,1,0,1,0,1,0,1,0,1,0,0,4
77,1,0,0,1,3,12,1,0,0,1,0,1,2,2837.0,1,1,2666,1,0,0,1,1,0,1,0,0,1,0,5
72,0,0,4,1,3,22,1,1,1,1,1,1,2,563.6,1,1,5273,1,0,0,1,1,0,1,0,1,0,0,4
80,0,0,2,1,1,25,0,1,1,1,1,1,2,2118.89,1,1,4517,1,0,1,0,1,0,1,0,1,0,0,5
74,1,0,0,1,1,24,1,1,0,1,1,1,2,539.6,1,1,5808,1,0,0,1,0,1,1,0,1,0,0,5
