Customer ID,City,Population
8779-QRDMV,Los Angeles,68701
4737-AQCPU,Los Angeles,68701
5043-TRZWM,Los Angeles,68701
8165-CBKXO,Los Angeles,68701
9979-RGMZT,Los Angeles,68701
7495-OOKFY,Los Angeles,55668
4918-FYJNT,Los Angeles,55668
3891-PUQOD,Los Angeles,55668
0052-DCKON,Los Angeles,55668
3704-IEAXF,Los Angeles,55668
1658-BYGOY,Los Angeles,47534
4854-CIDCF,Los Angeles,47534
9699-UBQFS,Los Angeles,47534
3623-FQBOX,Los Angeles,47534
0674-EYYZV,Los Angeles,47534
4598-XLKNJ,Inglewood,27778
6925-BAYGL,Inglewood,27778
2452-MRMZF,Inglewood,27778
9436-ZBZCT,Inglewood,27778
9618-LFJRU,Inglewood,27778
4846-WHAFZ,Whittier,26265
1602-IJQQE,Whittier,26265
0409-WTMPL,Whittier,26265
3272-VUHPV,Whittier,26265
6898-RBTLU,Whittier,26265
4412-YLTKF,Pico Rivera,63288
8182-PNAGI,Pico Rivera,63288
6181-AXXYF,Pico Rivera,63288
9391-LMANN,Pico Rivera,63288
8779-YIQQA,Pico Rivera,63288
0390-DCFDQ,Los Alamitos,21343
5996-NRVXR,Los Alamitos,21343
2348-KCJLT,Los Alamitos,21343
7269-JISCY,Los Alamitos,21343
5245-VDBUR,Los Alamitos,21343
3445-HXXGF,Sierra Madre,10558
4840-ORQXB,Sierra Madre,10558
6120-RJKLU,Sierra Madre,10558
7554-AKDQF,Sierra Madre,10558
7267-FRMJW,Sierra Madre,10558
2656-FMOKZ,Pasadena,23742
1839-UMACK,Pasadena,23742
6060-QBMGV,Pasadena,23742
3850-OKINF,Pasadena,23742
9546-KDTRB,Pasadena,23742
2070-FNEXE,Pasadena,32369
6892-XPFPU,Pasadena,32369
3090-HAWSU,Pasadena,32369
3030-YDNRM,Pasadena,32369
7339-POGZN,Pasadena,32369
0094-OIFMO,North Hollywood,57146
1624-NALOJ,North Hollywood,57146
6770-XUAGN,North Hollywood,57146
1902-XBTFB,North Hollywood,57146
6618-RYATB,North Hollywood,57146
1301-LOPVR,North Hollywood,57146
9947-OTFQU,Covina,33817
7594-RQHXR,Covina,33817
8563-OYMQY,Covina,33817
0734-OXWBT,Covina,33817
8738-JOKAR,Covina,33817
9514-JDSKI,El Monte,62660
3143-ILDAL,El Monte,62660
0402-CQAJN,El Monte,62660
0895-LNKRC,El Monte,62660
6502-KUGLL,El Monte,62660
7273-TEFQD,La Puente,30802
3034-ZBEQN,La Puente,30802
1195-OIYEJ,La Puente,30802
0129-QMPDR,La Puente,30802
7820-ZYGNY,La Puente,30802
3606-TWKGI,Rowland Heights,46342
4317-VTEOA,Rowland Heights,46342
5906-CVLHP,Rowland Heights,46342
7188-CBBBA,Rowland Heights,46342
5018-HEKFO,Rowland Heights,46342
4385-GZQXV,Ontario,49474
2990-HWIML,Ontario,49474
8201-AAXCB,Ontario,49474
4634-JLRJT,Ontario,49474
8044-BGWPI,Ontario,49474
3488-PGMQJ,Alpine,16486
6128-CZOMY,Alpine,16486
3085-QUOZK,Alpine,16486
4890-VMUAV,Alpine,16486
6233-HXJMX,Alpine,16486
7534-BFESC,San Diego,34902
8098-LLAZX,San Diego,34902
0265-EDXBD,San Diego,34902
2840-XANRC,San Diego,34902
5020-ZSTTY,San Diego,34902
5804-LEPIM,San Diego,34902
0623-IIHUG,San Diego,34902
9057-MSWCO,San Diego,34902
4895-TMWIR,San Diego,34902
0533-BNWKF,San Diego,34902
0334-GDDSO,San Diego,34902
4795-KTRTH,San Diego,34902
3580-REOAC,San Diego,34902
6390-DSAZX,San Diego,34902
7563-BIUPC,San Diego,34902
2321-OMBXY,San Diego,34902
0122-OAHPZ,San Diego,34902
2868-SNELZ,San Diego,34902
4322-RCYMT,San Diego,34902
6680-NENYN,San Diego,34902
1343-EHPYB,San Diego,34902
2034-GDRCN,San Diego,34902
0219-YTZUE,San Diego,34902
4572-DVCGN,San Diego,34902
1010-DIAUQ,San Diego,34902
0259-GBZSH,San Diego,34902
9601-BRXPO,San Diego,34902
6905-NIQIN,San Diego,34902
5167-ZFFMM,San Diego,34902
6599-CEBNN,San Diego,34902
0979-PHULV,San Diego,34902
4800-VHZKI,San Diego,34902
7989-CHGTL,San Diego,34902
9753-OYLBX,San Diego,34902
1270-XKUCC,San Diego,34902
5351-QESIO,San Diego,34902
5564-NEMQO,Thermal,17018
3392-EHMNK,Thermal,17018
7010-ZMVBF,Thermal,17018
0550-DCXLH,Thermal,17018
6235-VDHOM,Riverside,63999
2506-TNFCO,Riverside,63999
5628-FCGYG,Riverside,63999
7698-YFGEZ,Riverside,63999
5609-CEBID,Hemet,39264
1784-EZDKJ,Hemet,39264
9602-WCXPI,Hemet,39264
1221-GHZEP,Hemet,39264
5956-VKDTT,Moreno Valley,46214
4304-XUMGI,Moreno Valley,46214
6437-UKHMV,Moreno Valley,46214
5453-YBTWV,Moreno Valley,46214
0257-ZESQC,Perris,26357
8220-OCUFY,Perris,26357
6137-NICCO,Perris,26357
4912-PIGUY,Perris,26357
2865-TCHJW,Anaheim,36301
3786-WOVKF,Anaheim,36301
4614-NUVZD,Anaheim,36301
4500-HKANN,Anaheim,36301
5192-EBGOV,Brea,1408
6804-GDMOI,Brea,1408
2212-LYASK,Brea,1408
2592-HODOV,Brea,1408
3419-SNJJD,Yorba Linda,20893
5087-SUURX,Yorba Linda,20893
3126-WQMGH,Yorba Linda,20893
8749-TZYEC,Yorba Linda,20893
4554-YGZIH,Summerland,576
9578-VRMNM,Summerland,576
4667-OHGKG,Summerland,576
5396-IZEPB,Summerland,576
5099-BAILX,Santa Barbara,31727
1587-FKLZB,Santa Barbara,31727
1729-VLAZJ,Santa Barbara,31727
1998-VHJHK,Santa Barbara,31727
4913-EHYUI,Alpaugh,1054
7470-MCQTK,Alpaugh,1054
6959-UWKHF,Alpaugh,1054
0027-KWYKW,Alpaugh,1054
1626-ERCMM,Camp Nelson,191
3870-MQAMG,Camp Nelson,191
4495-LHSSK,Camp Nelson,191
2877-VDUER,Camp Nelson,191
5644-PDMZC,Delano,37280
4800-CZMPC,Delano,37280
9861-PDSZP,Delano,37280
9432-VOFYX,Delano,37280
4160-AMJTL,Fellows,626
4652-NNHNY,Fellows,626
1320-HTRDR,Fellows,626
7245-NIIWQ,Fellows,626
0823-HSCDJ,Temecula,46171
2774-LVQUS,Temecula,46171
4094-NSEDU,Temecula,46171
6946-LMSQS,Temecula,46171
8406-LNMHF,Temecula,46171
3276-HDUEG,Temecula,46171
2037-XJFUP,Temecula,46171
7314-OXENN,Temecula,46171
7548-SEPYI,Temecula,46171
5960-WPXQM,Temecula,46171
5261-QSHQM,Temecula,46171
1731-TVIUK,Temecula,46171
2873-ZLIWT,Temecula,46171
0628-CNQRM,Temecula,46171
7665-TOALD,Temecula,46171
5536-SLHPM,Temecula,46171
6821-BUXUX,Temecula,46171
9801-GDWGV,Temecula,46171
0231-LXVAP,Temecula,46171
5968-XQIVE,Temecula,46171
3571-DPYUH,Temecula,46171
0139-IVFJG,Temecula,46171
9805-FILKB,Temecula,46171
7311-MQJCH,Temecula,46171
2266-SJNAT,Temecula,46171
1049-FYSYG,Temecula,46171
0432-CAJZV,Temecula,46171
6297-NOOPG,Temecula,46171
7167-PCEYD,Temecula,46171
4817-KEQSP,Temecula,46171
0067-DKWBL,San Diego,47224
5244-IRFIH,San Diego,47224
2684-EIWEO,San Diego,47224
6683-VLCTZ,San Diego,47224
4433-JCGCG,San Diego,47224
2276-YDAVZ,San Diego,47224
5896-NPFWW,San Diego,47224
7133-VBDCG,San Diego,47224
1029-QFBEN,San Diego,47224
4952-YSOGZ,San Diego,47224
1589-AGTLK,San Diego,47224
6439-GTPCA,San Diego,47224
5138-WVKYJ,San Diego,47224
6481-OGDOO,San Diego,47224
8835-VSDSE,San Diego,47224
6967-PEJLL,San Diego,47224
0691-IFBQW,Biola,807
4282-YMKNA,Biola,807
5883-GTGVD,Biola,807
0567-GGCAC,Biola,807
3643-AHCFP,Selma,26213
4871-JTKJF,Selma,26213
7878-JGDKK,Selma,26213
4439-YRNVD,Selma,26213
9231-ZJYAM,Squaw Valley,3146
5597-GLBUC,Squaw Valley,3146
1174-FGIFN,Squaw Valley,3146
0980-PVMRC,Squaw Valley,3146
0727-BMPLR,Fresno,35790
9206-GVPEQ,Fresno,35790
7181-OQCUT,Fresno,35790
8571-ZCMCX,Fresno,35790
0947-MUGVO,Jolon,254
8922-LIEGH,Jolon,254
5917-RYRMG,Jolon,254
3197-NNYNB,Jolon,254
0781-LKXBR,San Francisco,28998
4061-UKJWL,San Francisco,28998
4385-ZKVNW,San Francisco,28998
9631-RXVJM,San Francisco,28998
1907-UBQFC,San Francisco,13723
4228-ZGYUW,San Francisco,13723
0277-ORXQS,San Francisco,13723
7526-IVLYU,San Francisco,13723
6513-EECDB,San Francisco,30587
0407-BDJKB,San Francisco,30587
0733-VUNUW,San Francisco,30587
5176-LDKUH,San Francisco,30587
7074-IEVOJ,San Francisco,1458
0354-WYROK,San Francisco,1458
5108-ADXWO,San Francisco,1458
2138-VFAPZ,San Francisco,1458
4750-ZRXIU,Palo Alto,1723
9693-XMUOB,Palo Alto,1723
6715-OFDBP,Palo Alto,1723
9624-EGDEQ,Palo Alto,1723
7028-DVOIQ,Birds Landing,138
2262-SLNVK,Birds Landing,138
5939-XAIXZ,Birds Landing,138
9402-CXWPL,Birds Landing,138
4208-UFFGW,Byron,10153
1965-AKTSX,Byron,10153
2683-BPJSO,Byron,10153
1135-HIORI,Byron,10153
9889-TMAHG,Fremont,46917
4588-YBNIB,Fremont,46917
9170-CCKOU,Fremont,46917
0068-FIGTF,Fremont,46917
8919-FYFQZ,Livermore,75929
5828-DWPIL,Livermore,75929
0880-FVFWF,Livermore,75929
5955-EPOAZ,Livermore,75929
6646-QVXLR,Napa,63947
9912-GVSEQ,Napa,63947
0014-BMAQU,Napa,63947
5811-IWXYM,Napa,63947
9369-XFEHK,Pleasanton,36669
7665-NKLAV,Pleasanton,36669
2228-BZDEE,Pleasanton,36669
2908-ZTPNF,Pleasanton,36669
1374-DMZUI,San Ramon,44078
3027-YNWZU,San Ramon,44078
7729-XBTWX,San Ramon,44078
6888-SBYAI,San Ramon,44078
1989-PRJHP,Pleasanton,28568
6877-LGWXO,Pleasanton,28568
9481-WHGWY,Pleasanton,28568
0559-CKHUS,Pleasanton,28568
4822-RVYBB,Berkeley,21205
4013-TLDHQ,Berkeley,21205
7026-YMSBE,Berkeley,21205
3721-CNZHX,Berkeley,21205
4184-TJFAN,Berkeley,11889
9674-EHPPG,Berkeley,11889
5325-UWTWJ,Berkeley,11889
3585-YNADK,Berkeley,11889
4145-UQXUQ,Berkeley,8157
3244-CQPHU,Berkeley,8157
5440-VHLUL,Berkeley,8157
6828-HMKWP,Berkeley,8157
1236-WFCDV,Greenbrae,12010
