Customer ID,City,Zip Code
8779-QRDMV,Los Angeles,90022
7495-OOKFY,Los Angeles,90063
1658-BYGOY,Los Angeles,90065
4598-XLKNJ,Inglewood,90303
4846-WHAFZ,Whittier,90602
4412-YLTKF,Pico Rivera,90660
0390-DCFDQ,Los Alamitos,90720
3445-HXXGF,Sierra Madre,91024
2656-FMOKZ,Pasadena,91106
2070-FNEXE,Pasadena,91107
0094-OIFMO,North Hollywood,91605
9947-OTFQU,Covina,91722
9514-JDSKI,El Monte,91732
7273-TEFQD,La Puente,91746
3606-TWKGI,Rowland Heights,91748
4385-GZQXV,Ontario,91764
3488-PGMQJ,Alpine,91901
7534-BFESC,San Diego,92122
8098-LLAZX,San Diego,92122
0265-EDXBD,San Diego,92122
2840-XANRC,San Diego,92122
5020-ZSTTY,San Diego,92122
5804-LEPIM,San Diego,92122
0623-IIHUG,San Diego,92122
9057-MSWCO,San Diego,92122
4895-TMWIR,San Diego,92122
0533-BNWKF,San Diego,92122
0334-GDDSO,San Diego,92122
5564-NEMQO,Thermal,92274
6235-VDHOM,Riverside,92509
5609-CEBID,Hemet,92544
5956-VKDTT,Moreno Valley,92557
0257-ZESQC,Perris,92571
2865-TCHJW,Anaheim,92807
5192-EBGOV,Brea,92823
3419-SNJJD,Yorba Linda,92887
4554-YGZIH,Summerland,93067
5099-BAILX,Santa Barbara,93101
4913-EHYUI,Alpaugh,93201
1626-ERCMM,Camp Nelson,93208
5644-PDMZC,Delano,93215
4160-AMJTL,Fellows,93224
0823-HSCDJ,Temecula,92592
0067-DKWBL,San Diego,92129
5244-IRFIH,San Diego,92129
2684-EIWEO,San Diego,92129
6683-VLCTZ,San Diego,92129
0691-IFBQW,Biola,93606
3643-AHCFP,Selma,93662
9231-ZJYAM,Squaw Valley,93675
0727-BMPLR,Fresno,93706
0947-MUGVO,Jolon,93928
0781-LKXBR,San Francisco,94102
1907-UBQFC,San Francisco,94108
6513-EECDB,San Francisco,94114
7074-IEVOJ,San Francisco,94130
4750-ZRXIU,Palo Alto,94304
7028-DVOIQ,Birds Landing,94512
4208-UFFGW,Byron,94514
9889-TMAHG,Fremont,94539
8919-FYFQZ,Livermore,94550
6646-QVXLR,Napa,94558
9369-XFEHK,Pleasanton,94566
1374-DMZUI,San Ramon,94583
1989-PRJHP,Pleasanton,94588
4822-RVYBB,Berkeley,94704
4184-TJFAN,Berkeley,94707
4145-UQXUQ,Berkeley,94710
1236-WFCDV,Greenbrae,94904
1271-SJBGZ,Forest Knolls,94933
4441-NIHPT,Freedom,95019
8999-BOHSE,Gilroy,95020
7029-RPUAV,Los Gatos,95030
8111-SLLHI,San Jose,95128
5293-WXJAK,San Jose,95135
4086-YQSNZ,Glencoe,95232
8399-YNDCH,Columbia,95310
5565-FILXA,Escondido,92027
4187-CINZD,Lakewood,90712
6818-WOBHJ,Fulton,95439
9134-CEQMF,Nice,95464
8519-IMDHU,Alderpoint,95511
3372-KWFBM,Bayside,95524
7206-GZCDC,Loleta,95551
1768-ZAIFU,Rio Dell,95562
3793-MMFUH,Davis,95618
6567-HOOPW,Folsom,95630
8621-MNIHH,Madison,95653
5419-CONWX,Pleasant Grove,95668
7024-OHCCK,Sheridan,95681
5357-TZHPP,Wheatland,95692
0506-LVNGN,Rancho Cordova,95742
9809-IMGCQ,Canyon Dam,95923
3254-YRILK,Dobbins,95935
0529-ONKER,Forest Ranch,95942
5240-IJOQT,Grass Valley,95949
0661-XEYAN,Nevada City,95959
2660-EMUBI,Escondido,92027
7675-OZCZG,Fallbrook,92028
9391-EOYLI,Lewiston,96052
2761-OCIAX,Palo Cedro,96073
3068-OMWZA,Round Mountain,96084
4154-AQUGT,San Diego,92130
8017-LXHFA,San Diego,92130
4248-QPAVC,San Diego,92130
4690-LLKUA,San Diego,92130
9490-DFPMD,San Diego,92130
8580-AECUZ,San Diego,92130
5047-LHVLY,San Diego,92121
8375-DKEBR,Hermosa Beach,90254
7279-BUYWN,Buena Park,90620
7156-MHUGY,Buena Park,90621
9606-PBKBQ,Long Beach,90813
3536-IQCTX,South Pasadena,91030
3132-TVFDZ,Glendale,91202
8080-DDEMJ,Glendale,91204
6702-OHFWR,Reseda,91335
4510-PYUSH,Sylmar,91342
8840-DQLGN,Burbank,91502
4193-ORFCL,North Hollywood,91606
7776-QWNFX,Chino,91710
6689-TCZHQ,Claremont,91711
9497-QCMMS,San Diego,92117
3424-NMNBO,San Diego,92117
4514-GFCFI,San Diego,92117
8000-REIQB,San Diego,92117
4795-KTRTH,San Diego,92122
9961-JBNMK,Desert Center,92239
6179-GJPSO,Escondido,92027
8290-YWKHZ,Fallbrook,92028
8051-HJRLT,Wrightwood,92397
4021-RQSNY,Moreno Valley,92555
9061-TIHDA,Murrieta,92563
8699-ASUFO,Nuevo,92567
4695-WJZUE,Irvine,92606
3988-RQIXO,Corona Del Mar,92625
5931-FLJJF,Midway City,92655
3207-OYBWH,Newport Beach,92661
7216-EWTRS,Newport Beach,92663
2528-HFYZX,Santa Ana,92706
4140-MUHUG,Oak View,93022
1587-FKLZB,Santa Barbara,93101
5440-FLBQG,Santa Barbara,93110
2774-LVQUS,Temecula,92592
4612-THJBS,Terra Bella,93270
4094-NSEDU,Temecula,92592
1846-XWOQN,Bradley,93426
3757-NJYBX,Nipomo,93444
9898-KZQDZ,Lee Vining,93541
8263-JQAIK,Palmdale,93591
2205-YMZZJ,Clovis,93612
1254-IZEYF,Cutler,93615
9221-OTIVJ,Dunlap,93621
5908-QMGOE,Fowler,93625
0397-GZBBC,South Dos Palos,93665
7641-EUYET,Tranquillity,93668
8922-LIEGH,Jolon,93928
8245-UMPYT,Lockwood,93932
5186-SAMNZ,Marina,93933
5373-SFODM,San Lucas,93954
0022-TCJCI,Daly City,94015
5130-IEKQT,San Francisco,94109
3269-ATYWD,San Francisco,94123
0354-WYROK,San Francisco,94130
7576-OYWBN,San Mateo,94402
5539-TMZLF,Concord,94520
3336-JORSO,Hayward,94542
6861-XWTWQ,Napa,94559
4283-FUTGF,El Sobrante,94803
2397-BRLOM,San Rafael,94901
8510-AWCXC,Novato,94945
8225-BTJAU,Stinson Beach,94970
1724-BQUHA,Los Gatos,95032
4826-XTSOH,Moss Landing,95039
2408-WITXK,San Jose,95110
2634-HCZGT,San Jose,95126
7503-QQRVF,San Jose,95127
0709-TVGUR,Stockton,95207
3001-CBHLQ,Angels Camp,95222
4102-OQUPX,Sheep Ranch,95250
3999-QGRJH,Ballico,95303
2454-RPBRZ,Catheys Valley,95306
2265-CYWIV,Hickman,95323
4550-VBOFE,Soulsbyville,95372
7409-KIUTL,Escondido,92027
1732-VHUBQ,Escondido,92027
0679-IDSTG,Branscomb,95417
8802-UNOJF,Philo,95466
6313-GIDIT,Point Arena,95468
2845-AFFTX,Westport,95488
2815-CPTUL,Gasquet,95543
1891-FZYSA,Piercy,95587
9685-WKZGT,Carmichael,95608
6022-UGGSO,Citrus Heights,95610
3923-CSIHK,Herald,95638
3677-IYRBF,Newcastle,95658
8118-LSUEL,Roseville,95678
5277-ZLOOR,Applegate,95703
4248-HCETZ,Sacramento,95814
9174-FKWZE,Sacramento,95819
5307-DZCVC,Sacramento,95835
8679-JOEVF,Sacramento,95838
4803-AXVYP,Butte City,95920
5649-ANRML,Clipper Mills,95930
7395-IGJOS,Quincy,95971
7890-VYYWG,Sutter,95982
9907-SWKKF,Twain,95984
6397-JNZZG,Adin,96006
7779-LGOVN,Paskenta,96074
9710-ZUSHQ,Red Bluff,96080
3902-FOIGH,Doyle,96109
3318-OSATS,Sierra City,96125
2636-ALXXZ,Tahoe Vista,96148
9885-CSMWE,Los Angeles,90007
8058-JMEQO,San Diego,92121
7657-DYEPJ,Los Angeles,90024
8276-MQBYC,Los Angeles,90028
6015-VVHHE,Los Angeles,90039
2516-VQRRV,Culver City,90230
7580-UGXNC,Culver City,90232
5178-LMXOP,Gardena,90248
7056-IMHCC,Torrance,90501
8749-JMNKX,Montebello,90640
0917-EZOLA,Lakewood,90713
8414-MYSHR,Arcadia,91007
4988-IQIGL,Canoga Park,91304
4706-AXVKM,Stevenson Ranch,91381
5889-JTMUL,Castaic,91384
9026-RNUJS,Van Nuys,91401
1624-NALOJ,North Hollywood,91605
6210-KBBPI,West Covina,91790
2260-USTRB,Campo,91906
8623-TMRBY,Chula Vista,91915
6900-PXRMS,Spring Valley,91978
3346-BRMIS,Bonsall,92003
2722-JMONI,Escondido,92029
7579-OOPEC,Pala,92059
1771-OADNZ,Pauma Valley,92061
0612-RTZZA,Vista,92084
4433-JCGCG,San Diego,92129
9488-HGMJH,Indian Wells,92210
4818-QIUFN,Desert Hot Springs,92241
6961-VCPMC,North Palm Springs,92258
4424-TKOPW,Crestline,92325
4201-JMNGR,Lucerne Valley,92356
1866-RZZQS,Redlands,92373
8631-NBHFZ,Running Springs,92382
4958-XCBDQ,Victorville,92394
8337-UPOAQ,Wrightwood,92397
6712-OAWRH,San Bernardino,92408
5914-DVBWJ,Riverside,92508
8644-XLFBW,Lake Elsinore,92532
1833-VGRUM,Perris,92570
8374-XGEJJ,Temecula,92590
6946-LMSQS,Temecula,92592
4039-HEUNW,Irvine,92620
0812-WUPTB,Corona Del Mar,92625
2403-BCASL,Santa Ana,92705
3871-IKPYH,Camarillo,93010
1304-NECVQ,Somis,93066
5655-JSMZM,Coalinga,93210
4505-EXZHB,Ducor,93218
8972-HJWNV,Huron,93234
2860-RANUS,Mc Kittrick,93251
0406-BPDVR,Visalia,93277
5276-KQWHG,Woody,93287
9667-EQRXU,Boron,93516
0946-CLJTI,Palmdale,93551
0324-BRPCJ,Palmdale,93591
9189-JWSHV,Helm,93627
0576-WNXXC,Parlier,93648
5482-PLVPE,Daly City,94014
4902-OHLSK,Half Moon Bay,94019
0495-ZBNGW,Loma Mar,94021
2357-COQEK,Atherton,94027
2034-CGRHZ,San Francisco,94104
9360-AHGNL,Concord,94519
5485-WUYWF,Crockett,94525
2632-UCGVD,Fairfield,94533
6425-YQLLO,Pinole,94564
2091-RFFBA,Port Costa,94569
6899-PPEEA,Vallejo,94590
4597-NUCQV,Oakland,94601
3754-DXMRT,San Pablo,94806
7130-VTEWQ,San Rafael,94903
7903-CMPEY,Corte Madera,94925
1704-NRWYE,Point Reyes Station,94956
7481-ATQQS,Boulder Creek,95006
0023-HGHWL,Morgan Hill,95037
1792-UXAFY,San Jose,95110
6161-UUUTA,Stockton,95206
6543-XRMYR,Stockton,95209
2479-BRAMR,Murphys,95247
3714-JTVOV,Crows Landing,95313
8580-QVLOC,Merced,95348
2012-NWRPA,Modesto,95355
8808-ELEHO,Modesto,95356
9058-CBREO,Winton,95388
8063-GBATB,Cobb,95426
1069-XAIEM,Mendocino,95460
6987-XQSJT,Blue Lake,95525
0722-TROQR,Davis,95616
6402-ZFPPI,Fair Oaks,95628
9965-YOKZB,Grizzly Flats,95636
0504-HHAPI,Guinda,95637
3791-LGQCY,Loomis,95650
8166-ZZTFS,Roseville,95661
2956-GGUCQ,Pioneer,95666
2778-OCLGR,Soda Springs,95728
7067-KSAZT,Chico,95928
9300-AGZNL,Elk Creek,95939
1112-CUNAO,Grimes,95950
3389-YGYAI,Princeton,95970
3070-DVEYC,Williams,95987
5707-ORNDZ,Yuba City,95993
8696-JKZNU,Anderson,96007
2055-PDADH,Big Bend,96011
2302-ANTDP,Hat Creek,96040
5233-GEEAX,Lewiston,96052
7137-RYLPP,Paskenta,96074
3957-LXOLK,Shingletown,96088
5281-BUZGT,Weaverville,96093
2718-GAXQD,Fallbrook,92028
3217-FZDMN,Los Angeles,90001
7480-QNVZJ,Los Angeles,90005
7124-UGSUR,Los Angeles,90028
1862-SKORY,Los Angeles,90029
4816-JBHOV,Los Angeles,90044
3247-ZVOUO,Downey,90240
1268-ASBGA,Huntington Park,90255
4713-LZDRV,Malibu,90263
4325-NFSKC,Pacific Palisades,90272
6502-HCJTI,Lakewood,90712
8258-GSTJK,San Pedro,90732
2995-UPRYS,Long Beach,90802
6686-YPGHK,Long Beach,90808
8020-BWHYL,Montrose,91020
6892-XPFPU,Pasadena,91107
8010-EZLOU,San Marino,91108
8062-YBDOE,Canyon Country,91351
3672-YITQD,Castaic,91384
8988-ECPJR,Van Nuys,91411
3776-EKTKM,Burbank,91501
0643-OKLRP,Azusa,91702
9381-NDKME,El Monte,91731
8327-LZKAS,Pomona,91767
1075-BGWOH,Rosemead,91770
8485-GJCDN,San Diego,92109
6029-WTIPC,San Diego,92109
3317-HRTNN,San Diego,92109
5569-OUICF,San Diego,92109
5747-PMBSQ,San Diego,92126
2982-IHMFT,San Diego,92126
5143-EGQFK,San Diego,92126
6168-WFVVF,San Diego,92126
7450-NWRTR,San Diego,92126
6005-OBZPH,San Diego,92126
7932-WPTDS,San Diego,92126
7000-WCEVQ,Wrightwood,92397
5959-BELXA,Yucaipa,92399
2506-TNFCO,Riverside,92509
6060-DRTNL,San Jacinto,92583
8473-VUVJN,Temecula,92590
0196-VULGZ,Irvine,92620
1976-CFOCS,Dana Point,92629
4631-OACRM,Lake Forest,92630
3755-JBMNH,Huntington Beach,92648
6345-ULYRW,Laguna Beach,92651
0013-EXCHZ,Camarillo,93010
5550-VFRLC,Moorpark,93021
2657-ALMWY,Simi Valley,93065
6284-AHOOQ,Avenal,93204
2460-FPSYH,Exeter,93221
5028-HTLJB,New Cuyama,93254
0875-CABNR,San Luis Obispo,93401
6982-UQZLY,Los Alamos,93440
0193-ESZXP,Oceano,93445
4369-HTUIF,Pismo Beach,93449
5287-QWLKY,Big Pine,93513
1891-UAWWU,Johannesburg,93528
3096-JRDSO,Fallbrook,92028
2398-YPMUR,Dinuba,93618
1265-XTECC,Madera,93638
4871-JTKJF,Selma,93662
1415-YFWLT,Shaver Lake,93664
3500-RMZLT,Fresno,93702
2642-DTVCO,Chualar,93925
1363-TXLSL,San Lucas,93954
7136-RVDTZ,Portola Valley,94028
6927-WTFIV,Redwood City,94061
3398-ZOUAA,Redwood City,94063
4844-JJWUY,San Francisco,94121
4785-QRJHC,San Francisco,94132
1965-AKTSX,Byron,94514
7248-VZQLC,Concord,94521
0011-IGKFF,Martinez,94553
6496-SLWHQ,Moraga,94556
9912-GVSEQ,Napa,94558
5383-MMTWC,Oakley,94561
6877-LGWXO,Pleasanton,94588
5167-GBFRE,Oakland,94602
1324-NLTJE,Emeryville,94608
5567-WSELE,Richmond,94801
6646-VRFOL,Larkspur,94939
9090-SGQXL,Ben Lomond,95005
6595-YGXIT,Boulder Creek,95006
9835-ZIITK,Campbell,95008
5649-TJHOV,Davenport,95017
9253-QXKBE,Morgan Hill,95037
8775-LHDJH,San Jose,95136
3097-NQYSN,San Jose,95139
3565-UNOCC,Stockton,95209
9190-MFJLN,Vallecito,95251
1095-JUDTC,Woodbridge,95258
5385-SUIRI,Delhi,95315
6328-ZPBGN,Riverbank,95367
2856-NNASM,Santa Rosa,95407
6769-DYBQN,Clearlake,95422
2446-BEGGB,Lakewood,90712
1496-GGSUK,Fulton,95439
3296-SILRA,Lakeport,95453
5180-UCIIQ,Lucerne,95458
1977-STDKI,The Sea Ranch,95497
5813-UECBU,Bridgeville,95526
4342-HENTK,Garberville,95542
1597-LHYNC,Auburn,95602
8651-ENBZX,Grizzly Flats,95636
9286-DOJGF,Lotus,95651
9661-MHUMO,Mather,95655
8884-ADFVN,Roseville,95678
2720-WGKHP,Sloughhouse,95683
9776-CLUJA,Sacramento,95829
3551-HUAZH,Brownsville,95919
8634-MPHTR,Forbestown,95941
2474-BRUCM,Redding,96002
0616-ATFGB,Shasta Lake,96019
7235-NXZCP,Hornbrook,96044
6661-HBGWL,Mineral,96063
9317-WZPGV,Paskenta,96074
3621-CEOVK,Trinity Center,96091
7632-MNYOY,Tahoe Vista,96148
9248-OJYKK,San Diego,92121
3398-FSHON,San Diego,92121
3319-DWOEP,San Diego,92121
0818-OCPZO,Los Angeles,90059
1389-CXMLU,Downey,90242
5561-NWEVX,Hermosa Beach,90254
2272-QAGFO,Inglewood,90304
3768-NLUBH,Torrance,90503
7359-SSBJK,Whittier,90605
0685-MLYYM,Buena Park,90620
7957-RYHQD,Bellflower,90706
6230-BSUXY,Paramount,90723
3990-QYKBE,La Canada Flintridge,91011
9274-CNFMO,Pacoima,91331
3005-NFMTA,Valencia,91354
5389-FFVKB,Thousand Oaks,91360
8444-WRIDW,Thousand Oaks,91362
5868-YWPDW,Sherman Oaks,91423
1273-MTETI,Rancho Cucamonga,91737
5480-HPRRX,Glendora,91740
7234-FECYN,San Gabriel,91776
1400-MMYXY,Alhambra,91801
7142-HVGBG,Mount Laguna,91948
1564-NTYXF,San Marcos,92078
0886-QGENL,San Diego,92104
8739-WWKDU,San Diego,92109
